,TOXICITY,TOXICITY_dyu,TOXICITY_dyd,SEVERE_TOXICITY,SEVERE_TOXICITY_dyu,SEVERE_TOXICITY_dyd,IDENTITY_ATTACK,IDENTITY_ATTACK_dyu,IDENTITY_ATTACK_dyd,INSULT,INSULT_dyu,INSULT_dyd,PROFANITY,PROFANITY_dyu,PROFANITY_dyd,THREAT,THREAT_dyu,THREAT_dyd,SEXUALLY_EXPLICIT,SEXUALLY_EXPLICIT_dyu,SEXUALLY_EXPLICIT_dyd,FLIRTATION,FLIRTATION_dyu,FLIRTATION_dyd,year
0,0.36835948848552585,0.3702312572371129,0.36639302576688,0.23441979012156106,0.23616040311305495,0.2327540688398153,0.31534436340161137,0.31704597629885184,0.3135827343938715,0.33435635341785735,0.3363750039116247,0.33238986072221627,0.2840411827577602,0.28623931628937194,0.28217575807554374,0.28714982071664363,0.28869566572130323,0.2856668691669257,0.19085757835377248,0.19222935926261936,0.18953970941059026,0.33366010120570677,0.3348123382883583,0.3326319226367733,2010
1,0.3493933241221492,0.35163335704960613,0.3471850086715333,0.2282153505063895,0.2302686454937401,0.22625946281826287,0.29518981665965116,0.2972737725652706,0.29308540455338766,0.31172877870053256,0.3140055467890463,0.3093595957258521,0.271199435286455,0.2736614973899145,0.2687504563497515,0.2742688921319787,0.2757653871022513,0.2726741958155643,0.18958789685953323,0.19108649836906594,0.18789243383789217,0.3349969703229445,0.3364415459602692,0.3336907894648069,2011
2,0.35626077019801766,0.35863892413541587,0.3539926124815107,0.2272245378848533,0.22924847215937524,0.22519288153923014,0.28373325291191764,0.28573100880146035,0.28169691466221086,0.32377981976840275,0.3262666068228878,0.3214111319196016,0.2832713743074407,0.285608536913824,0.2808533800442824,0.2722949569439012,0.2740125853242244,0.27067949807630753,0.19150216933728742,0.1929768010180097,0.18982519722929592,0.33637485764986336,0.3377038767429981,0.3349370139697678,2012
3,0.381728182965761,0.3836856995846162,0.3798094815759428,0.24109489661694555,0.2428988509109833,0.23940662608969251,0.27667368039125934,0.2781061490824001,0.2751525943978404,0.34745225417835596,0.3493888526159376,0.34562221190817505,0.3044132543236579,0.30652047870413723,0.3023510873760501,0.2821220615467595,0.2834765082886754,0.28080987091069515,0.18916265800342716,0.190491081687412,0.18792465571136302,0.3206067225381057,0.3216619911239273,0.3196367762858796,2013
4,0.38537960426201695,0.38719056632276705,0.3835655485913104,0.2507010117297118,0.25227618943897556,0.24922546659078207,0.3265349170244141,0.3281065414219018,0.3249339660619166,0.34348758904713117,0.3452938378218351,0.3417518757969246,0.29283432088915073,0.2947148146713247,0.29103228128374364,0.28507830478205953,0.28647564354115074,0.2837876934035454,0.1905697488295108,0.19183427500448222,0.18925943903560832,0.3174019520147551,0.31840193020262564,0.3164662762279485,2014
5,0.3886098391522876,0.3903839116285637,0.38646862002400256,0.2606571839295727,0.2622313310556974,0.2590521810459437,0.3125970510316233,0.3143057372833144,0.31111454194776195,0.34652667457114894,0.3482870439248912,0.34487919170262776,0.31328494596428863,0.3151121423020654,0.311417808489734,0.2925134727537477,0.2938986822295394,0.29120696897242104,0.21576015083880243,0.21710323886283237,0.21452235202992667,0.35738257273112767,0.3583792005816814,0.35630245191064835,2015
6,0.41478106111623964,0.41565142162127433,0.4139839005750239,0.2803934692750159,0.2811719342321111,0.27967539758060284,0.3199105619414705,0.32058348591419206,0.3192132174253271,0.36781337880768245,0.36855027312549593,0.3670379244855282,0.34319162025150723,0.344102199703462,0.3423219436335196,0.27922745805581795,0.2797606224284049,0.27871869440035846,0.2297901371033637,0.2303618967880943,0.2292194664628712,0.3575543887536395,0.35799812772866396,0.3571324666753776,2016
7,0.4106256154609496,0.41100141124895306,0.41025233166909425,0.2763171515673521,0.27665184785270724,0.2760064549793862,0.3107671175740865,0.31106468169852974,0.31048032834679345,0.36066602857038743,0.36103373235212577,0.36033561701926453,0.3374163194992171,0.33786820299580705,0.33704142374339485,0.2788750678724003,0.2791202667392645,0.2786461481689176,0.22770861303086357,0.2279763689966357,0.2274480692159824,0.3580161835999906,0.35822141704325505,0.3578145342184825,2017
8,0.39496921711855565,0.3951445085711816,0.3947814674278653,0.26036873885038436,0.26051389926355506,0.2602108329631799,0.31006947496532683,0.3102258127286729,0.30991099362809543,0.3478623912879765,0.348037513311229,0.3476823889109668,0.3146731643597596,0.31485653944541686,0.31448090966089026,0.2808715691229608,0.280995588368136,0.28075087675555493,0.21454054534444905,0.21466624331666567,0.2144077341414562,0.3494990818389094,0.34959371091198044,0.34940044257344616,2018
9,0.3835606963149137,0.3838567828156692,0.3832861727663895,0.24911211123463858,0.24936304973473086,0.2488615915966952,0.30262674932502626,0.30287609936363385,0.3024058454625276,0.3408449618897772,0.341111197867631,0.3405762648177814,0.2993963332061535,0.29970667189101224,0.29909901920285464,0.2820499262203487,0.2822513935856522,0.2818625771670476,0.20670718863141557,0.20690003687682662,0.20653429519385655,0.34941742595986325,0.3495801821572392,0.3492545724312184,2019
